sport,slateDate,commenceTime,matchup,predictedWinner,winner,score,winProbabilityPct,marketProb,marketEdge,marketDelta,marketGap,bookDivergence,reversalCount,movementPerReversal,runLineMoveAbs,bookAgreement,bookDivergenceFlag,runLineMove,runLineAligned,unconfirmedRunLine,steam,steamAligned,resistance,compressedMarket,missingFundamentals,lowPullDepth,favoriteRisk,opponentFavored,highReversalDirectional,highReversalWeak,selectedUnderdog,selectedFavorite,underdogPositiveMove,underdogEdgeImproving,favoriteFlatMoveRisk,favoriteCompressedRisk,lean,passTier,label
mlb,2026-07-03,2026-07-03T23:10:53Z,Baltimore Orioles at Cincinnati Reds,Cincinnati Reds,Baltimore Orioles,47.32,44.44,0.53026,0.06051999999999996,0.00171,0.06051,0.01097,1.0,0.00171,37.636,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
mlb,2026-07-03,2026-07-03T20:15:09Z,St. Louis Cardinals at Chicago Cubs,Chicago Cubs,St. Louis Cardinals,53.27,56.77,0.59732,0.19463999999999998,0.00395,0.19465,0.01085,2.0,0.001975,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
mlb,2026-07-03,2026-07-03T22:46:38Z,Pittsburgh Pirates at Washington Nationals,Washington Nationals,Washington Nationals,62.28,73.56,0.5598,0.11959999999999998,0.01242,0.1196,0.0127,1.0,0.01242,6.182,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
mlb,2026-07-03,2026-07-03T23:10:53Z,Baltimore Orioles at Cincinnati Reds,Baltimore Orioles,Baltimore Orioles,55.04,60.35,0.52825,0.056499999999999995,0.01397,0.0565,0.01073,2.0,0.006985,0.545,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
mlb,2026-07-03,2026-07-03T23:16:39Z,New York Mets at Atlanta Braves,New York Mets,Atlanta Braves,54.2,58.66,0.48104,-0.037919999999999954,0.00985,0.03793,0.02109,1.0,0.00985,251.955,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
mlb,2026-07-03,2026-07-04T00:15:27Z,Tampa Bay Rays at Houston Astros,Tampa Bay Rays,Tampa Bay Rays,59.98,69.67,0.49892,-0.0021599999999999953,0.01516,0.00216,0.00783,1.0,0.01516,24.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
mlb,2026-07-03,2026-07-04T01:40:39Z,Miami Marlins at Athletics,Athletics,Miami Marlins,46.27,42.29,0.53654,0.07308000000000003,0.00994,0.07308,0.02491,3.0,0.003313333333333333,31.636,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
mlb,2026-07-03,2026-07-04T02:10:15Z,Toronto Blue Jays at Seattle Mariners,Toronto Blue Jays,Toronto Blue Jays,71.26,85.47,0.54318,0.08635999999999999,0.0202,0.08636,0.01641,0.0,0.0202,1.636,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
mlb,2026-07-02,2026-07-03T01:41:00Z,Los Angeles Angels at Seattle Mariners,Seattle Mariners,Seattle Mariners,72.18,86.39,0.65744,0.31488000000000005,0.00893,0.31488,0.02206,0.0,0.00893,2.909,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
mlb,2026-07-02,2026-07-03T02:11:00Z,San Diego Padres at Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Dodgers,61.83,72.83,0.67955,0.3591,-0.00161,0.35909,0.01811,1.0,0.00161,8.091,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1
